Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,Comment
509,Morristo,444.725000,+,5.000000,Tone,156.7,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/2bjegarz
510,Nashvill,442.800000,+,5.000000,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/2yw4gqu6
511,Newport-,443.300000,+,5.000000,TSQL,118.8,118.8,23,NN,23,Tone->Tone,FM,TN S04 | Wide | https://tinyurl.com/279gvzyy
512,SignalMt,442.150000,+,5.000000,,88.5,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/2yoc34qd
513,Woodbury,444.650000,+,5.000000,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,TN S04 | Sys | https://tinyurl.com/29tuf52p
514,Crozet-B,146.895000,-,0.600000,TSQL,151.4,151.4,23,NN,23,Tone->Tone,FM,"VA S04 | Link, Wide | https://tinyurl.com/277xhc26"
515,FancyGap,444.150000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,VA S04 | Sys | https://tinyurl.com/2c3zvew5
516,Floyd-W4,147.210000,+,0.600000,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,VA S04 | Wide | https://tinyurl.com/27gqy3eg
517,FrontRoy,442.725000,+,5.000000,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,VA S04 | Sys | https://tinyurl.com/2xtvjze4
518,GordonsV,147.120000,+,0.600000,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,"VA S04 | Link, EchoLink, Wide | https://tinyurl.com/29xaxc4g"
519,Hanover-,145.110000,-,0.600000,TSQL,74.4,74.4,23,NN,23,Tone->Tone,FM,VA S04 | Wide | https://tinyurl.com/2cv5x2u3
520,Honaker-,147.075000,+,0.600000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,VA S04 | Sys | https://tinyurl.com/22s2m79d
521,KingGeor,146.775000,-,0.600000,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,VA S04 | Sys | https://tinyurl.com/2xqxrlre
