Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
92,Murray,462.625000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Calloway | Murray, Murray State University Campus | WSJV431",,,,
93,Dorton,462.650000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Pike | Dorton, FLATSWOODS | WROP886",,,,
94,Hopkinsv,462.650000,+,5.000000,TSQL,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Christian | Hopkinsville | WSAI691,,,,
95,LaGrange,462.650000,+,5.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Oldham | La Grange | WSGB249,,,,
96,Richmond,462.650000,+,5.000000,DTCS,88.5,88.5,143,NN,143,Tone->Tone,FM,5.00,,10W,KY | Madison | Richmond | WRXJ900,,,,
97,Garrett,462.675000,+,5.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Floyd | Garrett | WRYM274,,,,
98,Lawrence,462.675000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Anderson | Lawrenceburg, Lovers Leap Winery | WRXU936",,,,
99,Lebanon,462.675000,+,5.000000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Marion | Lebanon, Marion County | WRKZ517",,,,
100,RussellS,462.675000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Russell | Russell Springs, Hubbards building supply | WREB719",,,,
101,Smithfie,462.675000,+,5.000000,DTCS,88.5,88.5,365,NN,365,Tone->Tone,FM,5.00,,10W,"KY | Henry | Smithfield, Busted Knuckle Garage | WREI904",,,,
102,Nancy,462.700000,+,5.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Pulaski | Nancy | WRAY217,,,,
103,Paintsvi,462.700000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Johnson | Paintsville, Starfire Hill | WROP886",,,,
104,Carlisle,462.725000,+,5.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Nicholas | Carlisle, Mt Moriah Repeater | WRVA641",,,,
105,Crittend,462.725000,+,5.000000,TSQL,225.7,225.7,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Grant | Crittenden | WRMR358,,,,
106,Fredonia,462.725000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"KY | Crittenden | Fredonia, Crayne Knob | WRQZ843",,,,
107,Martin,462.725000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,KY | Floyd | Martin | WROP886,,,,
108,Ahoskie,462.550000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Hertford | Ahoskie | WRZJ725,,,,
109,Apex,462.550000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Wake | Apex | WRAI304,,,,
110,ChapelHi,462.550000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Chatham | Chapel Hills, Fearrington Village | WRQK380",,,,
111,Durham,462.550000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Durham | Durham | WRUP989,,,,
112,EmeraldI,462.550000,+,5.000000,TSQL,186.2,186.2,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Carteret | Emerald Isle, Bogue Inlet Pier | WRMB218",,,,
113,EtowahNc,462.550000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Henderson | Etowah Nc, Big Willow 550 | WRZY308",,,,
114,Grandy,462.550000,+,5.000000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Currituck | Grandy, Flippers | WSEI906",,,,
115,Luart,462.550000,+,5.000000,DTCS,88.5,88.5,265,NN,265,Tone->Tone,FM,5.00,,10W,NC | Harnett | Luart | WRPP340,,,,
116,Rosman,462.550000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Transylvania | Rosman, Gorges State Park, NC | WRJE502",,,,
117,Sanford,462.550000,+,5.000000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Chatham | Sanford, Pittsboro Fire Station #3 | KAF8172",,,,
118,Sophia,462.550000,+,5.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Randolph | Sophia | WRDR657,,,,
119,WakeFore,462.550000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Wake | Wake Forest | WSDN287,,,,
120,Whitevil,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Columbus | Whiteville | WSJY885 | unverified,,,,
121,Wilson,462.550000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Wilson | Wilson | WSCC605,,,,
122,Fairview,462.575000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Buncombe | Fairview | WRCY304 | unverified,,,,
123,Gastonia,462.575000,+,5.000000,DTCS,88.5,88.5,311,NN,311,Tone->Tone,FM,5.00,,10W,NC | Gaston | Gastonia | WQQF940,,,,
124,Lewiston,462.575000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Bertie | Lewiston | WRZJ725,,,,
125,Newport,462.575000,+,5.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,FM,5.00,,10W,NC | Carteret | Newport | WQEN357,,,,
126,Pittsbor,462.575000,+,5.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Chatham | Pittsboro, Chatham County Eoc | WRQK380",,,,
127,Randlema,462.575000,+,5.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Randolph | Randleman, North side | WROK349",,,,
128,Durham,462.600000,+,5.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Durham | Durham, Northgate Park | WSIX503",,,,
129,Franklin,462.600000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Macon | Franklin | WROV823,,,,
130,Goldsbor,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Wayne | Goldsboro | WRMF881,,,,
131,Greensbo,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Guilford | Greensboro, Battleground 600 | WRQW960",,,,
132,Hickory,462.600000,+,5.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Alexander | Hickory, Barretts Mountain | WRKH438",,,,
133,MaggieVa,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Haywood | Maggie Valley | WQXC776,,,,
